,Pos,No.,Name,Club,Category,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,110th,374,Paul Mace,RAF CA,MV40,03:58:47,First, , ,12, ,00:59:54,01:17:40,02:12:40,02:37:23,03:34:32,03:58:47
Details/Certificate,111th,576,Paul Lambert,Settle Harriers,MV50,03:58:48,First, , ,3, ,01:01:13,01:16:57,02:12:26,02:34:42,03:35:55,03:58:48
Details/Certificate,112th,291,Ivan Oxborough,Ellmore Factory Racing Team,MV40,03:59:19,First, , ,4, ,00:57:32,01:15:13,02:09:10,02:36:20,03:35:12,03:59:19
Details/Certificate,113th,200,Florian Presslauer,Team WNT,M,03:59:20,First, , ,2, ,00:55:49,01:12:36,02:06:01,02:30:21,03:34:13,03:59:20
Details/Certificate,114th,551,David SmithStrava,Kendal CC,MV50,03:59:39,First, , ,1, ,01:02:09,01:20:15,02:16:16,02:39:46,03:38:04,03:59:39
Details/Certificate,115th,117,Ricardo Parreirinha,Edinburgh RC,M,03:59:40,First, ,N,0, ,01:02:45,01:20:38,02:17:33,02:39:57,03:37:49,03:59:40
Details/Certificate,116th,128,Sam Gibbs,Hope Factory Racing,M,03:59:57,First, , ,5, ,01:01:58,01:18:34,02:14:36,02:37:47,03:37:28,03:59:57
Details/Certificate,117th,611,Adrian HillFacebookTwitter,U/A Elloughton,,,,,,,,,,,,,
Details/Certificate,118th,506,John Elwell,East Bradford CC,MV50,04:00:34,Second, , ,2, ,00:58:46,01:18:03,02:14:22,02:38:25,03:37:05,04:00:34
Details/Certificate,119th,110,Stuart Dun,Catcune Suffolks,M,04:00:47,Second, , ,2, ,00:58:51,01:15:08,02:09:54,02:32:16,03:33:05,04:00:47
Details/Certificate,120th,489,Peter Jowett,Bradford RCC / Lynn Motors,MV50,04:00:49,Second, , ,13, ,01:00:30,01:19:06,02:16:05,02:40:18,03:37:37,04:00:49
Details/Certificate,121st,180,Rob Meeuwessen,Rings-goirle,,,,,,,,,,,,,
Details/Certificate,122nd,264,Andrew Wadsworth,BW Cycling,MV40,04:01:00,Second, ,N,0, ,00:54:36,01:23:18,02:15:21,02:38:06,03:30:59,04:01:00
Details/Certificate,123rd,346,David Thorp,Macclesfield Wheelers,MV40,04:01:05,Second, , ,3, ,00:59:12,01:16:55,02:12:48,02:35:41,03:37:45,04:01:05
Details/Certificate,124th,590,Ian Ferguson,TN715,MV50,04:01:23,Second, , ,15, ,00:59:16,01:16:21,02:12:07,02:37:33,03:37:25,04:01:23
Details/Certificate,125th,410,Dave Freeman,TNFC,MV40,04:01:34,Second, , ,1, ,01:00:47,01:18:18,02:14:26,02:38:01,03:39:05,04:01:34
Details/Certificate,126th,393,Nigel HollTwitter,Stirling Bike Club,MV40,04:01:37,Second, ,N,0, ,01:02:59,01:20:04,02:16:25,02:39:55,03:38:47,04:01:37
Details/Certificate,127th,554,Gary Coltman,Leicestershire Road Club,MV50,04:01:39,Second, , ,1, ,01:02:27,01:17:50,02:16:34,02:38:01,03:40:37,04:01:39
Details/Certificate,128th,186,Adam Perry,Sedbergh CC,M,04:01:41,Second, ,N,0, ,00:58:36,01:17:31,02:12:13,02:38:20,03:37:30,04:01:41
Details/Certificate,129th,618,Colin Moses,U/A Keighley,MV50,04:01:43,Second, , ,15, ,00:57:14,01:13:28,02:05:03,02:42:38,03:40:47,04:01:43
Details/Certificate,130th,308,Brent Carr,Here Come The Belgians,MV40,04:01:45,Second, , ,7, ,01:00:22,01:18:03,02:15:18,02:38:43,03:40:34,04:01:45
Details/Certificate,131st,491,Mark Murphy,Bray Wheelers,,,,,,,,,,,,,
